anger-fear,anger,fear
anger-joy,anger,joy
anger-love,anger,love
anger-sadness,anger,sadness
anger-trust,anger,trust
conservatives(political)-anger,conservatives(political),anger
conservatives(political)-fear,conservatives(political),fear
conservatives(political)-healthcare,conservatives(political),healthcare
conservatives(political)-immigration,conservatives(political),immigration
conservatives(political)-joy,conservatives(political),joy
conservatives(political)-liberals(political),conservatives(political),liberals(political)
conservatives(political)-love,conservatives(political),love
conservatives(political)-religion,conservatives(political),religion
conservatives(political)-sadness,conservatives(political),sadness
conservatives(political)-science,conservatives(political),science
conservatives(political)-trust,conservatives(political),trust
conservatives(political)-voting,conservatives(political),voting
fear-joy,fear,joy
fear-love,fear,love
fear-sadness,fear,sadness
fear-trust,fear,trust
firefighter-anger,firefighter,anger
firefighter-conservatives(political),firefighter,conservatives(political)
firefighter-fear,firefighter,fear
firefighter-healthcare,firefighter,healthcare
firefighter-immigration,firefighter,immigration
firefighter-joy,firefighter,joy
firefighter-liberals(political),firefighter,liberals(political)
firefighter-love,firefighter,love
firefighter-neighbors(yours),firefighter,neighbors(yours)
firefighter-religion,firefighter,religion
firefighter-sadness,firefighter,sadness
firefighter-science,firefighter,science
firefighter-trust,firefighter,trust
firefighter-voting,firefighter,voting
healthcare-anger,healthcare,anger
healthcare-fear,healthcare,fear
healthcare-immigration,healthcare,immigration
healthcare-joy,healthcare,joy
healthcare-love,healthcare,love
healthcare-religion,healthcare,religion
healthcare-sadness,healthcare,sadness
healthcare-science,healthcare,science
healthcare-trust,healthcare,trust
healthcare-voting,healthcare,voting
immigration-anger,immigration,anger
immigration-fear,immigration,fear
immigration-joy,immigration,joy
immigration-love,immigration,love
immigration-religion,immigration,religion
immigration-sadness,immigration,sadness
immigration-science,immigration,science
immigration-trust,immigration,trust
joy-love,joy,love
joy-sadness,joy,sadness
joy-trust,joy,trust
liberals(political)-anger,liberals(political),anger
liberals(political)-fear,liberals(political),fear
liberals(political)-healthcare,liberals(political),healthcare
liberals(political)-immigration,liberals(political),immigration
liberals(political)-joy,liberals(political),joy
liberals(political)-love,liberals(political),love
liberals(political)-religion,liberals(political),religion
liberals(political)-sadness,liberals(political),sadness
liberals(political)-science,liberals(political),science
liberals(political)-trust,liberals(political),trust
liberals(political)-voting,liberals(political),voting
love-sadness,love,sadness
love-trust,love,trust
neighbors(yours)-anger,neighbors(yours),anger
neighbors(yours)-conservatives(political),neighbors(yours),conservatives(political)
neighbors(yours)-fear,neighbors(yours),fear
neighbors(yours)-healthcare,neighbors(yours),healthcare
neighbors(yours)-immigration,neighbors(yours),immigration
neighbors(yours)-joy,neighbors(yours),joy
neighbors(yours)-liberals(political),neighbors(yours),liberals(political)
neighbors(yours)-love,neighbors(yours),love
neighbors(yours)-religion,neighbors(yours),religion
neighbors(yours)-sadness,neighbors(yours),sadness
neighbors(yours)-science,neighbors(yours),science
neighbors(yours)-trust,neighbors(yours),trust
neighbors(yours)-voting,neighbors(yours),voting
police-anger,police,anger
police-conservatives(political),police,conservatives(political)
police-fear,police,fear
police-firefighter,police,firefighter
police-healthcare,police,healthcare
police-immigration,police,immigration
police-joy,police,joy
police-liberals(political),police,liberals(political)
police-love,police,love
police-neighbors(yours),police,neighbors(yours)
police-religion,police,religion
police-sadness,police,sadness
police-science,police,science
police-trust,police,trust
police-voting,police,voting
religion-anger,religion,anger
religion-fear,religion,fear
religion-joy,religion,joy
religion-love,religion,love
religion-sadness,religion,sadness
religion-science,religion,science
religion-trust,religion,trust
sadness-trust,sadness,trust
science-anger,science,anger
science-fear,science,fear
science-joy,science,joy
science-love,science,love
science-sadness,science,sadness
science-trust,science,trust
voting-anger,voting,anger
voting-fear,voting,fear
voting-immigration,voting,immigration
voting-joy,voting,joy
voting-love,voting,love
voting-religion,voting,religion
voting-sadness,voting,sadness
voting-science,voting,science
voting-trust,voting,trust
