,Black or African American,FemaleGender,IncomeOrdinal,Age_years,EducationOrdinal,NewsBiasQuant
0,0,0,3,27,5.0,-0.37666666666666665
1,0,0,1,42,5.0,-2
2,0,0,1,28,5.0,4.4399999999999995
3,0,1,3,41,3.0,5
4,0,1,3,44,5.0,-2.703333333333333
5,0,1,4,32,6.0,-1.8999999999999997
6,0,0,4,42,5.0,-1.75
7,0,1,4,35,5.0,-1.65
8,0,0,4,47,5.0,-1.3
9,0,0,1,35,3.0,-4.5
10,0,1,4,28,5.0,0.8399999999999999
11,0,0,2,23,5.0,-0.6766666666666667
12,0,1,1,32,2.0,0.12666666666666657
13,0,1,2,55,2.0,-1.0999999999999999
14,0,1,4,30,4.0,-0.8
15,0,0,3,43,5.0,-2.236666666666667
16,0,0,1,40,2.0,-1.8
17,0,0,3,31,3.0,-2.1333333333333333
18,0,1,2,43,2.0,-1.55
19,0,0,3,51,3.0,-1.65
20,0,1,2,38,6.0,-3
21,0,0,0,33,2.0,-1.3599999999999999
22,0,1,3,47,6.0,1.29
23,0,1,2,35,2.0,-1.8
24,0,0,4,50,5.0,4.626666666666666
25,0,0,3,30,5.0,3.88
26,0,0,2,28,6.0,-1.5
27,0,1,0,27,3.0,-1.71
28,0,1,2,70,4.0,4.4399999999999995
29,0,0,3,25,5.0,-2.2
30,0,1,0,60,5.0,5
31,0,0,3,43,3.0,-2.3366666666666664
32,0,1,4,62,5.0,-2.47
33,0,0,2,23,3.0,1.29
34,0,0,4,61,5.0,3.88
35,0,0,2,32,5.0,0.8399999999999999
36,0,1,3,27,6.0,0.8399999999999999
37,0,1,2,34,3.0,-0.4166666666666667
38,0,0,1,38,2.0,-2.955
39,0,1,4,47,6.0,-2.855
40,0,1,3,71,5.0,-2.57
41,0,1,3,36,5.0,-1.6
42,0,0,0,31,2.0,-2.85
43,0,1,3,27,5.0,-2.2
44,0,0,0,31,5.0,-2.505
45,0,0,4,50,5.0,-3.71
46,0,1,3,22,5.0,-1.3
47,0,1,4,37,5.0,-2.4033333333333333
48,0,0,2,59,3.0,-2.2
49,0,0,3,39,5.0,1.29
50,0,0,2,36,3.0,-2.703333333333333
51,0,1,2,41,5.0,-1.3
52,0,1,0,39,3.0,-1.3
53,0,1,0,40,4.0,0.3
54,0,0,3,26,5.0,-1.65
55,0,0,4,41,6.0,-3.71
56,0,1,4,43,5.0,5
57,0,1,2,21,2.0,-2.4
58,0,1,1,32,4.0,-0.10000000000000009
59,0,0,1,50,4.0,-1.7666666666666666
60,1,0,4,18,5.0,3.88
61,0,0,4,25,5.0,-1.75
62,0,0,4,39,6.0,-1.65
63,0,1,3,55,5.0,3.88
64,0,0,3,31,5.0,0.22000000000000006
65,0,1,3,44,5.0,-1.3
66,0,0,4,51,5.0,1.29
67,0,0,4,29,5.0,-1.0999999999999999
68,0,1,2,51,3.0,-3.71
69,0,1,4,47,6.0,-1.65
70,0,0,3,49,2.0,2.93
71,0,1,2,39,5.0,-1.3
72,0,1,3,38,4.0,-2
73,0,1,4,33,6.0,-0.6766666666666667
74,0,1,3,40,3.0,-1.05
75,0,0,3,35,3.0,-1.095
76,0,0,3,30,5.0,-1.8333333333333333
77,0,1,0,57,6.0,-1.7066666666666668
78,0,1,3,55,5.0,-1.3
79,0,0,2,65,4.0,2.4866666666666664
80,0,1,4,45,5.0,-0.75
81,0,1,3,34,4.0,-2.505
82,0,1,3,47,5.0,-1.4666666666666668
83,0,0,2,31,3.0,0.36000000000000004
84,0,1,2,28,5.0,-1.64
85,0,1,3,55,2.0,4.5
86,0,0,3,73,3.0,-3.855
87,0,0,1,32,4.0,-0.4666666666666666
88,0,1,1,53,5.0,-2.2
89,0,0,4,57,7.0,1.8399999999999999
90,0,0,2,66,3.0,-0.2
91,0,0,3,59,2.0,-0.89
92,0,0,3,43,4.0,-1.4
93,0,0,1,23,3.0,-1.75
94,0,1,0,39,6.0,3.88
95,0,0,3,38,3.0,1.0866666666666667
96,0,1,4,52,3.0,3.88
97,0,0,4,25,5.0,-1.3
98,0,1,3,59,5.0,-2
99,0,1,2,25,5.0,-1.75
100,0,1,4,54,5.0,0.6
101,0,1,4,28,7.0,-1.64
102,0,0,4,40,5.0,-1.4066666666666665
103,0,1,3,33,5.0,3.075
104,0,0,3,34,5.0,-2.2
105,0,0,3,24,5.0,1.29
106,0,1,3,41,5.0,-4.355
107,0,1,4,50,5.0,0.7933333333333333
108,0,1,4,38,6.0,-0.37666666666666665
109,0,0,4,47,5.0,-1.9
110,0,0,0,30,2.0,-1.05
111,0,0,2,55,3.0,3.05
112,0,1,4,39,5.0,-2.2
113,0,0,4,54,5.0,-2.2
114,0,0,1,42,5.0,-2.4
115,0,1,3,41,6.0,-2.4033333333333333
116,0,0,2,31,5.0,0.12666666666666662
117,0,0,3,57,5.0,0.94
118,0,0,1,28,2.0,-1.1
119,0,1,3,45,4.0,3.465
120,0,0,2,50,2.0,3.88
121,0,1,3,45,3.0,-1.5
122,0,1,3,46,2.0,1.94
123,0,0,3,41,4.0,-1.4633333333333336
124,0,0,4,33,6.0,-1.65
125,0,1,3,46,5.0,1.94
126,0,0,2,21,4.0,-2.4033333333333333
127,0,0,1,48,5.0,-1.095
128,0,1,3,32,2.0,-2.2
129,0,0,3,33,5.0,1.29
130,0,1,3,32,5.0,-1.67
131,0,0,2,58,6.0,-1.25
132,0,0,2,35,5.0,-1.75
133,0,1,0,32,2.0,1.29
134,0,1,2,70,3.0,3.465
135,0,0,4,58,6.0,-1.4
136,0,1,3,62,4.0,-1.2333333333333334
137,0,0,4,48,5.0,-1.3
138,0,1,0,23,4.0,-1.33
139,0,0,4,36,7.0,-1.05
140,0,1,3,46,3.0,-1
141,0,0,3,50,2.0,-2.4633333333333334
142,0,0,4,44,3.0,0.12666666666666657
143,1,0,2,26,5.0,1.29
144,0,1,3,50,2.0,-1.3599999999999999
145,1,0,1,41,6.0,-2.1333333333333333
146,0,0,3,26,6.0,-1.2733333333333334
147,0,1,2,24,5.0,0.8399999999999999
148,1,0,3,38,2.0,-2.505
149,1,1,3,31,2.0,0.35999999999999993
150,1,0,3,31,2.0,3.88
151,1,0,4,24,5.0,-1.75
152,1,1,4,34,5.0,-1.75
153,1,0,3,24,5.0,0.5933333333333333
154,1,0,3,20,5.0,0.12666666666666662
155,1,1,4,24,5.0,0.5933333333333334
156,0,1,3,25,5.0,-2.4033333333333333
157,1,1,3,24,5.0,3.88
158,1,0,2,24,5.0,-2.2
159,1,1,2,40,5.0,1.29
160,0,1,2,33,5.0,-2.2
161,1,0,3,24,5.0,0.5933333333333334
162,1,1,4,42,6.0,-1.7000000000000002
163,1,1,1,34,6.0,-2.2
164,1,0,3,27,6.0,-1.75
165,1,0,4,25,5.0,0.12666666666666657
166,1,0,3,27,5.0,-1.75
167,0,0,3,24,5.0,1.29
168,1,0,1,34,4.0,-1.3
169,0,1,4,47,6.0,-1.8333333333333333
170,0,1,2,51,3.0,1.29
171,1,0,3,23,5.0,-2.2
172,0,0,4,25,5.0,-1.2966666666666666
173,1,1,4,31,5.0,0.12666666666666662
174,1,1,4,40,5.0,-2.143333333333333
175,1,1,4,50,5.0,3.88
176,1,0,2,37,2.0,-2.47
177,1,0,0,24,5.0,1.29
178,0,0,3,33,5.0,0.12666666666666662
179,0,0,4,33,3.0,-3.71
180,1,0,2,22,5.0,0.12666666666666662
181,1,1,3,34,5.0,-1.75
182,1,0,4,26,5.0,-0.37666666666666665
183,1,0,3,26,6.0,0.8399999999999999
184,1,0,4,35,5.0,-0.37666666666666665
185,0,1,4,33,7.0,-1.3
186,1,0,3,39,5.0,3.88
187,1,1,3,28,5.0,1.29
188,1,1,4,31,5.0,-3.71
189,1,0,3,28,5.0,-1.5999999999999999
190,1,1,2,43,6.0,-2.505
191,1,0,4,24,5.0,3.88
192,1,1,3,29,3.0,1.29
193,0,1,2,23,5.0,-1.3
194,1,1,1,37,2.0,0
195,1,0,3,41,5.0,0.5599999999999999
196,1,1,2,48,5.0,-2.505
197,0,1,4,31,5.0,5
198,0,1,3,24,5.0,1.29
199,1,0,4,53,6.0,-3.71
200,1,1,2,38,5.0,-2.27
201,0,1,3,22,5.0,3.88
202,1,1,0,40,3.0,-2
203,1,0,1,37,6.0,0.3866666666666667
204,1,0,3,34,5.0,-1.67
205,1,0,4,27,7.0,-1.81
206,1,0,4,35,7.0,-1.75
207,1,0,2,29,5.0,0.12666666666666662
208,1,0,4,30,5.0,0.09333333333333342
209,1,1,3,41,3.0,-2.4033333333333333
210,0,1,0,34,4.0,1.23
211,1,0,0,57,3.0,0.31000000000000005
212,1,0,3,30,7.0,-3.71
213,1,0,4,48,7.0,1.29
214,1,0,4,32,5.0,1.29
215,1,1,4,37,6.0,-0.86
216,1,1,2,26,5.0,-2.143333333333333
217,1,1,4,60,7.0,-1.3599999999999999
218,1,1,4,26,5.0,-2.4033333333333333
219,1,1,3,39,5.0,1.29
220,0,0,3,39,5.0,-2.855
221,1,1,3,39,4.0,0
222,1,0,3,27,5.0,-2.2
223,0,1,1,27,3.0,-2.5
224,1,1,4,52,6.0,-1.8333333333333333
225,1,0,3,34,7.0,-2.143333333333333
226,1,1,3,44,5.0,-1.5733333333333333
227,1,0,3,24,5.0,1.29
228,0,1,2,25,5.0,0.8399999999999999
229,1,0,3,55,3.0,-0.37666666666666665
230,0,1,2,29,5.0,-2.2
231,1,0,4,43,4.0,-1.55
232,1,0,4,32,7.0,-1.3
233,1,1,0,27,2.0,-1.3
234,1,1,0,37,5.0,0
235,0,1,0,47,3.0,-1.5
236,1,1,3,25,5.0,-1.75
237,0,1,2,43,5.0,-2.2
238,1,0,3,55,6.0,0.36000000000000004
239,1,0,4,50,3.0,1.29
240,1,0,3,28,5.0,3.88
241,0,0,4,35,5.0,-3.71
242,0,0,4,36,5.0,-0.75
243,1,0,0,25,4.0,0
244,1,0,2,24,5.0,-1.3
245,1,0,3,39,5.0,1.29
246,1,0,3,24,5.0,-2.103333333333333
247,0,1,4,38,5.0,-1.8733333333333333
248,1,1,2,42,2.0,0.22000000000000006
249,0,0,2,33,5.0,-1.095
250,0,0,2,30,2.0,-1.3
251,0,0,2,34,5.0,-1.75
252,0,0,2,27,5.0,1.29
253,1,1,0,20,2.0,3.88
254,1,1,2,22,4.0,-1.3
255,0,0,3,29,5.0,0.12666666666666657
256,0,0,3,28,5.0,0.12666666666666662
257,1,1,2,38,2.0,2.1933333333333334
258,1,1,2,21,5.0,0.12666666666666662
259,0,1,4,57,4.0,3.425
260,0,1,2,31,5.0,-1.75
261,1,0,2,26,6.0,-1.81
262,1,0,0,39,5.0,-1.75
263,1,1,2,38,5.0,-1.5
264,1,1,0,23,5.0,0.26
265,0,1,2,23,3.0,3.88
266,1,0,4,25,5.0,-1.3
267,1,0,3,43,4.0,1.23
268,0,0,2,39,5.0,0.8399999999999999
269,0,0,1,44,2.0,3.88
270,1,1,0,24,3.0,-1.85
271,1,0,3,23,5.0,-1.3
272,1,1,1,36,2.0,0.36000000000000004
273,0,0,2,33,5.0,-1.5
274,0,0,3,60,3.0,-2.955
275,0,0,4,42,7.0,-1.4
276,0,1,2,63,4.0,-1.366666666666667
277,1,1,2,39,2.0,1.29
278,0,1,0,64,2.0,5
279,0,0,3,39,3.0,3.88
280,0,0,3,35,5.0,-2.17
281,1,0,4,30,5.0,-1.3
282,0,1,3,54,5.0,-2.4033333333333333
283,1,0,0,28,5.0,-2.955
284,0,0,3,29,5.0,0.12666666666666662
285,0,1,2,42,0.0,-1.5333333333333332
286,1,0,3,28,6.0,-1.4000000000000001
287,0,1,2,39,4.0,-1.3
288,0,0,1,31,5.0,-0.37666666666666665
289,0,1,3,25,6.0,-1.75
290,1,1,3,44,4.0,-1.3
291,1,0,4,37,5.0,-2.2
292,1,0,3,26,5.0,-1.8333333333333333
293,1,0,0,40,3.0,1.29
294,1,1,3,23,5.0,-2.2
295,0,0,3,39,7.0,-1.5999999999999999
296,1,1,1,38,2.0,3.88
297,1,1,3,39,5.0,-2.103333333333333
298,1,0,4,18,5.0,-0.8
299,1,1,2,29,3.0,-1.3599999999999999
300,0,1,2,61,3.0,-5
301,0,1,3,72,5.0,-2.703333333333333
302,0,1,3,30,5.0,3.88
303,1,1,0,35,3.0,-2.505
304,1,0,3,32,7.0,-1.3
305,1,0,3,24,5.0,1.29
306,1,0,1,72,3.0,-1.64
307,1,1,2,45,2.0,-2.505
308,1,1,4,28,6.0,-1.75
309,0,0,2,31,5.0,0.12666666666666662
310,0,1,3,34,5.0,-1.05
311,1,1,2,50,2.0,2.1933333333333334
312,0,0,3,24,2.0,-1.3
313,1,1,2,33,3.0,1.29
314,1,0,1,26,2.0,-1.5
315,1,0,3,23,5.0,0.12666666666666657
316,1,0,3,24,5.0,0.12666666666666657
317,1,1,4,55,5.0,-1.9666666666666668
318,0,1,2,65,3.0,3.465
319,0,0,2,69,4.0,-2.0366666666666666
320,0,1,2,36,2.0,-0.75
321,0,1,3,33,2.0,-0.44333333333333336
322,0,0,3,26,5.0,0.12666666666666662
323,0,0,3,41,5.0,-1.4
324,0,0,3,33,5.0,-0.9
325,1,0,4,27,5.0,0.5933333333333334
326,0,0,3,33,5.0,-1.9666666666666668
327,0,0,3,29,5.0,0.12666666666666662
328,1,0,2,41,4.0,-1.2333333333333334
329,1,0,4,30,6.0,-1.3
330,0,1,4,32,7.0,-1.2666666666666666
331,0,1,4,32,5.0,-2.2
332,1,0,4,26,5.0,-2.2
333,0,1,0,40,4.0,-1.3
334,1,1,3,42,5.0,-1.3
335,0,1,2,23,2.0,0.8999999999999999
336,1,1,2,47,4.0,1.29
337,0,1,3,30,5.0,-2.1333333333333333
338,1,1,3,51,5.0,4.4399999999999995
339,1,1,4,49,4.0,-1.5733333333333333
340,0,1,2,29,5.0,0.12666666666666662
341,0,1,2,22,5.0,3.88
342,0,1,0,19,3.0,-2.2
343,1,0,2,32,5.0,-2.505
344,1,0,2,29,5.0,0.9833333333333334
345,0,0,2,37,5.0,3.88
346,0,0,3,30,6.0,0.8399999999999999
347,1,1,3,43,3.0,-1.3
348,0,1,2,40,2.0,-1.5733333333333333
349,0,1,4,45,5.0,-1.5333333333333332
350,0,1,0,18,3.0,0.12666666666666662
351,1,0,4,26,5.0,1.29
352,1,0,2,27,5.0,-1.75
353,0,0,3,26,5.0,0.12666666666666662
354,1,0,3,26,5.0,0.12666666666666662
355,1,0,3,26,5.0,0.12666666666666657
356,1,1,0,35,4.0,-0.9066666666666666
357,0,1,4,41,3.0,-1.9000000000000001
358,0,1,1,64,4.0,0.19333333333333327
359,0,0,2,36,6.0,3.075
360,0,0,3,39,5.0,-0.89
361,1,0,0,19,3.0,1.29
362,1,1,2,31,3.0,-2.4033333333333333
363,1,1,4,48,6.0,-1.5733333333333333
364,0,0,4,47,5.0,-1.85
365,0,0,4,29,7.0,-2.565
366,0,0,3,40,4.0,1.29
367,0,0,4,40,5.0,4.4399999999999995
368,1,1,3,27,5.0,-2.505
369,1,1,4,64,6.0,-2
370,1,1,2,48,4.0,0.8399999999999999
371,1,0,3,31,6.0,-1.71
372,1,0,4,53,3.0,-1.445
373,1,0,3,27,5.0,-1.75
374,1,1,0,49,4.0,-1.9000000000000001
375,1,0,3,31,5.0,0.8399999999999999
376,1,1,0,20,2.0,1.29
377,1,0,3,30,5.0,-1.75
378,1,0,1,21,5.0,-1.75
379,1,0,1,28,6.0,-1.3
380,1,1,0,28,3.0,3.88
381,1,0,4,35,5.0,-1.3
382,1,0,3,24,5.0,-0.89
383,0,1,3,25,5.0,-1.75
384,1,1,1,47,5.0,-3.71
385,1,0,3,35,4.0,-1.1733333333333331
386,1,1,2,55,3.0,2.94
387,1,0,2,35,3.0,-0.17333333333333348
388,1,0,3,23,5.0,1.29
389,1,1,2,48,4.0,-1.65
390,1,0,3,30,6.0,-1.6000000000000003
391,1,1,4,61,5.0,0.36000000000000004
392,1,1,3,25,5.0,1.29
393,1,0,2,32,6.0,0.8399999999999999
394,1,1,3,40,2.0,-1.3
395,1,0,1,37,3.0,-0.9966666666666667
396,1,1,1,66,5.0,-1.61
397,1,1,4,36,5.0,-1.8333333333333333
398,1,0,3,40,3.0,-2.505
399,1,1,2,53,4.0,-0.37666666666666665
400,1,0,3,25,5.0,-1.75
401,1,1,3,37,4.0,-1.5066666666666666
402,1,0,2,28,5.0,1.29
403,1,1,2,41,6.0,-1.3599999999999999
404,1,1,0,19,3.0,-2.2
405,1,0,3,39,3.0,0.3866666666666667
406,1,1,0,43,3.0,-1.5
407,1,0,3,42,3.0,-0.75
408,1,1,0,20,4.0,0.49333333333333335
409,1,0,3,23,6.0,-0.75
410,1,0,3,36,4.0,-2.4433333333333334
411,1,1,3,35,3.0,-1.3
412,1,0,4,35,7.0,-2.2
413,0,0,3,58,5.0,-1.64
414,1,1,2,56,5.0,0.12666666666666662
415,1,1,3,32,6.0,-3.71
416,1,1,3,25,6.0,-2.1033333333333335
417,1,1,3,48,5.0,-2.27
418,1,0,3,24,5.0,-0.37666666666666665
419,1,0,3,31,6.0,-1.3
420,1,1,3,55,5.0,-1.75
421,1,1,4,20,6.0,0.12666666666666662
422,1,0,2,22,5.0,1.29
423,1,1,2,25,2.0,-1.75
424,1,0,2,40,2.0,-1.2333333333333334
425,1,0,4,33,7.0,-1.42
426,1,1,2,61,4.0,-1.2000000000000002
427,1,1,3,71,3.0,-1.5733333333333333
428,1,1,4,38,6.0,-1.3
429,1,1,4,24,2.0,-2.2
430,1,1,3,28,5.0,0.5933333333333334
431,1,1,4,30,5.0,-2.2
432,1,1,1,47,5.0,-1.3
433,1,0,2,28,5.0,0.5933333333333333
434,1,1,3,54,5.0,0.79
435,1,1,3,44,3.0,-2
436,1,0,3,35,4.0,-1.3
437,1,1,0,24,5.0,-0.3766666666666667
438,1,0,4,54,5.0,1.0633333333333332
439,1,1,3,40,3.0,-1.45
440,1,1,1,27,5.0,1.29
441,1,1,0,39,6.0,-1.5333333333333332
442,1,0,3,26,5.0,-0.5
443,1,1,3,24,3.0,-1.75
444,1,0,2,42,3.0,-1.3
445,1,0,2,37,4.0,-2
446,1,0,0,27,2.0,-1.2000000000000002
447,1,1,2,55,5.0,-1.3599999999999999
448,1,1,2,53,3.0,-2.2
449,1,1,0,25,3.0,-1.3
450,1,0,3,29,5.0,1.29
451,1,1,3,65,6.0,-2.505
452,1,0,0,31,4.0,-1.9366666666666665
453,1,1,2,36,3.0,-0.37666666666666665
454,1,0,3,24,5.0,-1.2966666666666666
455,1,0,4,34,7.0,-1.3
456,1,0,0,18,3.0,-1.1
457,1,1,0,43,5.0,-1.4333333333333333
458,1,0,4,38,7.0,-1.7333333333333334
459,1,1,1,65,5.0,4.293333333333333
460,1,0,3,34,5.0,-2.2
461,1,1,0,42,3.0,-2.4033333333333333
462,1,1,0,28,5.0,-2.2
463,1,1,1,29,3.0,0.86
464,1,0,4,26,3.0,0.06666666666666672
465,1,1,3,40,5.0,-1.3
466,1,0,2,43,5.0,-1.8333333333333333
467,1,1,3,38,5.0,1.1266666666666667
468,1,0,4,31,7.0,-1.3
469,0,1,4,31,5.0,-1.3
470,0,1,4,41,6.0,-0.65
471,0,1,4,46,5.0,0
472,0,0,2,44,3.0,1.29
473,0,0,1,32,6.0,-1.8333333333333333
474,0,0,4,63,5.0,-0.49000000000000005
475,1,1,3,22,4.0,0.12666666666666662
476,1,1,1,40,4.0,-0.37666666666666665
477,1,1,3,28,5.0,-1.75
478,0,1,3,27,5.0,3.88
479,1,1,2,41,5.0,-1.3
480,1,1,3,52,3.0,-2.505
481,1,1,3,58,2.0,-2.9
482,1,1,2,26,5.0,-1.75
