,0
0,9.999000099990002e-05
1,0.8196180381961804
2,9.999000099990002e-05
3,9.999000099990002e-05
4,0.0066993300669933005
5,0.0012998700129987
6,0.00039996000399960006
7,0.1075892410758924
8,9.999000099990002e-05
9,0.00019998000199980003
10,0.09959004099590041
11,9.999000099990002e-05
12,0.005499450054994501
13,0.0024997500249975004
14,0.025097490250974904
15,0.004399560043995601
16,0.21847815218478153
17,9.999000099990002e-05
18,0.0822917708229177
19,0.0005999400059994001
20,9.999000099990002e-05
21,0.010698930106989302
22,0.0004999500049995
23,0.5091490850914908
24,9.999000099990002e-05
25,9.999000099990002e-05
26,9.999000099990002e-05
27,9.999000099990002e-05
28,9.999000099990002e-05
29,9.999000099990002e-05
30,0.7081291870812919
31,0.024197580241975804
32,0.8215178482151785
33,0.0403959604039596
34,0.8298170182981702
35,9.999000099990002e-05
36,9.999000099990002e-05
37,9.999000099990002e-05
38,9.999000099990002e-05
39,9.999000099990002e-05
